birdsEUPopulation(Dataset1);;;;;;;;
speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;CRd_list_cat;red_list_cat_prev;taxFamily_en
A001;Gavia stellata;N;392000;3000;4800;LC;LC;Loons/divers
A002;Gavia arctica;N;634000;14800;19500;LC;LC;Loons/divers
A003;Gavia immer;Y;-1;6900;7700;LC;VU;Loons/divers
A004;Tachybaptus ruficollis;N;1370000;71700;126000;LC;LC;Grebes
A005;Podiceps cristatus;N;1310000;183000;263000;LC;LC;Grebes
A006;Podiceps grisegena;N;342000;7600;12100;VU;LC;Grebes
A007;Podiceps auritus;N;453000;4400;5700;VU;VU;Grebes
A008;Podiceps nigricollis;N;106000;8600;14700;LC;LC;Grebes
A009;Fulmarus glacialis;N;70800;228000;715000;EN;VU;Petrels and shearwaters
A013;Puffinus puffinus;N;4700;315000;359000;LC;LC;Petrels and shearwaters
A014;Hydrobates pelagicus;N;25800;135000;154000;LC;LC;Northern storm-petrels
A016;Morus bassanus;N;2600;360000;361000;LC;LC;Gannets
A017;Phalacrocorax carbo;N;437000;222000;267000;LC;LC;Cormorants
A018;Phalacrocorax aristotelis;N;143000;35400;44400;LC;NT;Cormorants
A019;Pelecanus onocrotalus;N;800;4700;5800;LC;LC;Pelicans
A020;Pelecanus crispus;N;4600;2200;2700;LC;LC;Pelicans
A021;Botaurus stellaris;N;391000;11200;19100;LC;LC;Herons
A022;Ixobrychus minutus;N;260000;20700;36500;LC;LC;Herons
A023;Nycticorax nycticorax;N;151000;25900;36100;LC;LC;Herons
A024;Ardeola ralloides;N;56600;6300;10600;LC;LC;Herons
A025;Bubulcus ibis;N;129000;64300;77700;LC;LC;Herons
A026;Egretta garzetta;N;230000;39100;48000;LC;LC;Herons
A028;Ardea cinerea;N;1230000;127000;150000;LC;LC;Herons
A029;Ardea purpurea;N;125000;10700;12800;LC;LC;Herons
A030;Ciconia nigra;N;450000;5800;8500;LC;LC;Storks
A031;Ciconia ciconia;N;1010000;156000;168000;LC;LC;Storks
A032;Plegadis falcinellus;N;14200;11200;32000;LC;LC;Ibises and spoonbills
A034;Platalea leucorodia;N;38500;8400;12000;LC;LC;Ibises and spoonbills
A036;Cygnus olor;N;1160000;66100;93600;LC;LC;Ducks, geese and swans
