datasetb;;;
country;speciescode;speciesname;nationally_hunted
AT;A036;Cygnus olor;No
AT;A036;Cygnus olor;No
DE;A036;Cygnus olor;Yes
BE;A040-A;Anser brachyrhynchus;No
DK;A040-A;Anser brachyrhynchus;Yes
IE;A040-B;Anser brachyrhynchus;No
UK;A040-B;Anser brachyrhynchus;Yes
GR;A043;Anser anser;No
GR;A043;Anser anser;No
FI;A043;Anser anser;Yes
FR;A043;Anser anser;Yes
HR;A043;Anser anser;No
HR;A043;Anser anser;No
RO;A043;Anser anser;Yes
ES;A043;Anser anser;Yes
ES;A043;Anser anser;Yes
UK;A043;Anser anser;Yes
UK;A043;Anser anser;Yes
HU;A043;Anser anser;Yes
HU;A043;Anser anser;Yes
BG;A043;Anser anser;No
BG;A043;Anser anser;No
CZ;A043;Anser anser;Yes
DE;A043;Anser anser;Yes
DK;A043;Anser anser;Yes
EE;A043;Anser anser;Yes
SI;A043;Anser anser;No
SI;A043;Anser anser;No
SK;A043;Anser anser;Yes
AT;A043;Anser anser;Yes
BE;A043;Anser anser;Yes
BG;A043;Anser anser;No
LV;A043;Anser anser;Yes
NL;A043;Anser anser;No
NL;A043;Anser anser;No
PT;A043;Anser anser;No
SE;A043;Anser anser;Yes
PL;A043;Anser anser;Yes
HR;A043;Anser anser;No
IE;A043;Anser anser;Yes
IT;A043;Anser anser;No
IT;A043;Anser anser;No
LT;A043;Anser anser;No
LT;A043;Anser anser;No
IE;A043-X;Anser anser;Yes
FI;A044-X;Branta canadensis;Yes
FR;A044-X;Branta canadensis;Yes
IE;A044-X;Branta canadensis;Yes
LU;A044-X;Branta canadensis;No
NL;A044-X;Branta canadensis;No
SE;A044-X;Branta canadensis;Yes
PL;A044-X;Branta canadensis;No
BE;A044-X;Branta canadensis;Yes
DE;A044-X;Branta canadensis;Yes
DK;A044-X;Branta canadensis;No
UK;A044-X;Branta canadensis;Yes
GR;A052;Anas crecca;Yes
FI;A052;Anas crecca;Yes
FR;A052;Anas crecca;Yes
HR;A052;Anas crecca;Yes
HR;A052;Anas crecca;Yes
IE;A052;Anas crecca;Yes
UK;A052;Anas crecca;Yes
HU;A052;Anas crecca;No
HU;A052;Anas crecca;No
RO;A052;Anas crecca;Yes
DE;A052;Anas crecca;Yes
DK;A052;Anas crecca;Yes
EE;A052;Anas crecca;Yes
ES;A052;Anas crecca;Yes
SK;A052;Anas crecca;No
UK;A052;Anas crecca;Yes
SI;A052;Anas crecca;No
AT;A052;Anas crecca;Yes
BE;A052;Anas crecca;Yes
BG;A052;Anas crecca;Yes
CY;A052;Anas crecca;Yes
CZ;A052;Anas crecca;No
NL;A052;Anas crecca;No
PT;A052;Anas crecca;Yes
SE;A052;Anas crecca;Yes
PL;A052;Anas crecca;Yes
PT;A052;Anas crecca;Yes
SI;A052;Anas crecca;No
IT;A052;Anas crecca;Yes
LT;A052;Anas crecca;Yes
LU;A052;Anas crecca;No
LV;A052;Anas crecca;Yes
MT;A052;Anas crecca;Yes
NL;A052;Anas crecca;No
GR;A053;Anas platyrhynchos;Yes
FI;A053;Anas platyrhynchos;Yes
FR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
HR;A053;Anas platyrhynchos;Yes
UK;A053;Anas platyrhynchos;No
UK;A053;Anas platyrhynchos;Yes
HU;A053;Anas platyrhynchos;Yes
HU;A053;Anas platyrhynchos;Yes
RO;A053;Anas platyrhynchos;Yes
CZ;A053;Anas platyrhynchos;Yes
DE;A053;Anas platyrhynchos;Yes
DK;A053;Anas platyrhynchos;Yes
EE;A053;Anas platyrhynchos;Yes
ES;A053;Anas platyrhynchos;Yes
SK;A053;Anas platyrhynchos;Yes
PT;A053;Anas platyrhynchos;Yes
SI;A053;Anas platyrhynchos;Yes
AT;A053;Anas platyrhynchos;Yes
BE;A053;Anas platyrhynchos;Yes
BG;A053;Anas platyrhynchos;Yes
CY;A053;Anas platyrhynchos;Yes
MT;A053;Anas platyrhynchos;Yes
NL;A053;Anas platyrhynchos;No
NL;A053;Anas platyrhynchos;No
PT;A053;Anas platyrhynchos;Yes
SE;A053;Anas platyrhynchos;Yes
PL;A053;Anas platyrhynchos;Yes
IE;A053;Anas platyrhynchos;Yes
IT;A053;Anas platyrhynchos;Yes
LT;A053;Anas platyrhynchos;Yes
LU;A053;Anas platyrhynchos;Yes
LV;A053;Anas platyrhynchos;Yes
MT;A053;Anas platyrhynchos;Yes
GR;A054;Anas acuta;Yes
FI;A054;Anas acuta;Yes
FR;A054;Anas acuta;Yes
HR;A054;Anas acuta;No
HR;A054;Anas acuta;No
IE;A054;Anas acuta;Yes
UK;A054;Anas acuta;Yes
HU;A054;Anas acuta;No
HU;A054;Anas acuta;No
RO;A054;Anas acuta;Yes
CZ;A054;Anas acuta;No
DE;A054;Anas acuta;Yes
DK;A054;Anas acuta;Yes
EE;A054;Anas acuta;Yes
ES;A054;Anas acuta;Yes
UK;A054;Anas acuta;No
AT;A054;Anas acuta;Yes
BE;A054;Anas acuta;No
BE;A054;Anas acuta;No
BE;A054;Anas acuta;No
BG;A054;Anas acuta;Yes
CY;A054;Anas acuta;Yes
PL;A054;Anas acuta;No
PL;A054;Anas acuta;No
PT;A054;Anas acuta;No
SI;A054;Anas acuta;No
SI;A054;Anas acuta;No
SK;A054;Anas acuta;No
NL;A054;Anas acuta;No
PT;A054;Anas acuta;Yes
SE;A054;Anas acuta;No
SE;A054;Anas acuta;No
SE;A054;Anas acuta;No
PL;A054;Anas acuta;No
IT;A054;Anas acuta;Yes
LT;A054;Anas acuta;No
LT;A054;Anas acuta;No
LV;A054;Anas acuta;Yes
