speciescode;speciesname;keywintering;distribution_surface_area;population_minimum_size;population_maximum_size;red_list_cat;conclusion_status_label;red_list_cat_prev;conclusion_status_label_prev;taxFamily_en;country;nationally_hunted;Risk_Country
A036;Cygnus olor;N;1160000;66100.0;93600.0;LC;Secure;LC;Secure;Ducks, geese and swans;Austria;No;Considerable
A036;Cygnus olor;N;1160000;66100.0;93600.0;LC;Secure;LC;Secure;Ducks, geese and swans;Austria;No;Considerable
A036;Cygnus olor;N;1160000;66100.0;93600.0;LC;Secure;LC;Secure;Ducks, geese and swans;Germany;Yes;High
A040-A;Anser brachyrhynchus;Y;-1;44800.0;55300.0;LC;Secure;LC;Secure;Ducks, geese and swans;Belgium;No;Alarming
A040-A;Anser brachyrhynchus;Y;-1;44800.0;55300.0;LC;Secure;LC;Secure;Ducks, geese and swans;Denmark;Yes;Alarming
A040-B;Anser brachyrhynchus;Y;-1;510000.0;511000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Ireland;No;High
A040-B;Anser brachyrhynchus;Y;-1;510000.0;511000.0;LC;Secure;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Greece;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Greece;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Finland;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;France;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;No;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;No;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Romania;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Spain;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Hungary;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Hungary;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Bulgaria;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Bulgaria;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Czech Republic;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Germany;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Denmark;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Estonia;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Slovenia;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Slovenia;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Slovakia;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Austria;Yes;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Belgium;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Bulgaria;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Latvia;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Netherlands;No;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Portugal;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Sweden;Yes;Alarming
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Poland;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Croatia;No;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Ireland;Yes;High
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Italy;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Italy;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Lithuania;No;Considerable
A043;Anser anser;N;817000;223000.0;321000.0;LC;Secure;LC;Secure;Ducks, geese and swans;Lithuania;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Greece;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Finland;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;France;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Croatia;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Ireland;Yes;High
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;United Kingdom;Yes;Alarming
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Hungary;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Hungary;No;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Romania;Yes;Considerable
A052;Anas crecca;N;1160000;234000.0;367000.0;LC;Declining;LC;Secure;Ducks, geese and swans;Germany;Yes;High
